LocationDesc,AgeGroup,Arthritis among older adults,"Disability status, including sensory or mobility limitations",Fair or poor health among older adults with arthritis,Fall with injury within last year,Oral health:  tooth retention,Physically unhealthy days (mean number of days),Prevalence of sufficient sleep,Recent activity limitations in past month,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Severe joint pain among older adults with arthritis,Taking medication for high blood pressure
Kentucky,2.0,50.53,47.523999999999994,43.94,12.385714285714286,61.6125,6.736666666666666,62.04705882352941,7.763333333333334,33.13548387096775,66.66875,38.873333333333335,91.02
Louisiana,0.0,39.175,39.768,45.545,11.613333333333333,72.28,6.069999999999999,62.193333333333335,7.663333333333333,29.346666666666668,70.65333333333334,46.32,87.54666666666667
Louisiana,1.0,54.85,49.276,42.88,11.226666666666667,56.76,6.3,70.80666666666666,7.196666666666667,33.8,66.2,37.94666666666667,93.80666666666666
Louisiana,2.0,45.78181818181818,43.653571428571425,44.06,11.493333333333334,69.27777777777777,6.036363636363636,65.27777777777777,7.47,30.58823529411765,69.41176470588235,41.96666666666667,90.64666666666668
Maine,0.0,39.025,27.310000000000002,31.10625,11.091666666666667,77.44166666666666,4.945833333333334,66.46666666666667,6.566666666666666,19.104166666666668,80.89583333333333,27.458333333333332,79.89166666666667
Maine,1.0,51.252941176470586,39.7952380952381,25.95,10.233333333333333,62.26666666666667,4.691666666666666,74.64999999999999,5.579166666666667,21.072,78.928,18.016666666666666,90.35000000000001
Maine,2.0,46.614999999999995,35.50769230769231,29.694117647058825,10.700000000000001,67.45,5.453333333333333,67.02499999999999,6.141666666666667,23.34,76.89354838709677,22.608333333333334,84.73076923076923
Maryland,0.0,29.403846153846153,25.400000000000002,28.110000000000003,9.12,86.16666666666667,4.02,60.72380952380953,5.3999999999999995,18.424324324324324,82.16190476190476,30.953333333333333,86.18
Maryland,1.0,48.08846153846154,34.978125,27.355,8.733333333333333,69.05238095238094,4.567741935483871,73.71428571428571,5.4,22.733333333333334,78.7025,23.813333333333333,93.55333333333333
Maryland,2.0,37.089285714285715,30.26842105263158,27.81904761904762,9.011764705882353,77.73913043478261,4.357777777777778,64.66956521739131,5.359459459459459,20.87727272727273,79.42666666666666,29.45625,88.7
Massachusetts,0.0,32.225,29.05666666666667,28.900000000000002,10.092857142857143,80.85555555555555,4.763636363636364,62.166666666666664,5.774193548387097,20.81764705882353,79.36944444444445,30.22307692307692,82.55
Massachusetts,1.0,50.85833333333333,46.37,27.744444444444444,9.8,60.90555555555555,5.151515151515151,68.71666666666667,5.823076923076924,26.852941176470587,73.42222222222222,24.116666666666664,93.62941176470588
Massachusetts,2.0,39.436,36.30333333333333,33.61304347826087,10.413333333333332,74.325,4.930555555555555,65.4857142857143,5.8500000000000005,23.044444444444444,78.35121951219513,33.04117647058824,88.75
Michigan,0.0,43.06666666666666,35.01481481481481,36.93,13.90625,77.54705882352941,6.03939393939394,58.252941176470586,7.213333333333334,25.227272727272727,74.77272727272727,38.79333333333333,82.75333333333333
Michigan,1.0,55.99047619047619,43.75384615384615,32.0,10.866666666666667,63.81333333333334,5.467741935483871,71.91333333333334,6.42,25.45483870967742,74.54516129032258,26.673333333333336,92.48
Michigan,2.0,48.352,39.73939393939394,35.2,13.294117647058824,72.49,5.931578947368421,62.98,7.14375,26.26842105263158,74.11282051282052,34.275,87.33125
