LocationDesc,AgeGroup,Arthritis among older adults,"Disability status, including sensory or mobility limitations",Fair or poor health among older adults with arthritis,Fall with injury within last year,Oral health:  tooth retention,Physically unhealthy days (mean number of days),Prevalence of sufficient sleep,Recent activity limitations in past month,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Severe joint pain among older adults with arthritis,Taking medication for high blood pressure,Frequent mental distress,Lifetime diagnosis of depression,Binge drinking within past 30 days,Current smoking,Cholesterol checked in past 5 years,Colorectal cancer screening,Diabetes screening within past 3 years,Ever had pneumococcal vaccine,High blood pressure ever,Influenza vaccine within past year,Mammogram within past 2 years,Pap test within past 3 years,Up-to-date with recommended vaccines and screenings - Men,Up-to-date with recommended vaccines and screenings - Women,Eating 2 or more fruits daily,Eating 3 or more vegetables daily,No leisure-time physical activity within past month,Obesity,Duration of caregiving among older adults,Expect to provide care for someone in the next two years,Intensity of caregiving among older adults,Provide care for a friend or family member in past month,Provide care for someone with cognitive impairment within the past month,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Subjective cognitive decline or memory loss among older adults,Talked with health care professional about subjective cognitive decline or memory loss
Delaware,1.0,50.055,40.256,29.119999999999997,9.533333333333333,63.093333333333334,4.756666666666666,72.02666666666667,5.940740740740741,22.686666666666667,77.31333333333333,27.566666666666666,93.32,7.454166666666667,12.788,5.1375,9.346153846153847,97.34666666666666,82.19333333333334,68.05499999999999,72.43,62.44666666666667,61.15,77.58,57.84285714285714,45.775,42.65,35.22,13.484615384615385,35.69666666666667,33.62,63.379999999999995,12.26,24.233333333333334,15.440000000000001,8.9,33.766666666666666,25.58571428571429,9.866666666666667,39.81111111111111
Delaware,2.0,41.733333333333334,36.24333333333333,30.380000000000003,8.975,73.53888888888889,4.855555555555556,66.86666666666666,6.093939393939394,24.549999999999997,75.44999999999999,32.81333333333333,87.40625,9.453333333333335,15.802857142857144,9.34,15.129032258064516,95.51111111111112,71.48333333333333,68.90434782608695,61.05588235294118,54.26111111111111,53.28888888888889,79.63636363636364,72.5,35.60909090909091,32.88181818181818,34.53888888888889,14.653333333333334,33.25,36.83888888888889,60.6,15.940000000000001,26.24,19.8,8.4,30.991666666666664,32.725,8.506666666666666,44.791666666666664
District of Columbia,0.0,28.794999999999998,30.116,36.01176470588236,10.013333333333332,83.15333333333334,4.1866666666666665,63.67333333333333,5.3966666666666665,19.66896551724138,80.85,49.425000000000004,82.87333333333332,12.34,21.663333333333334,14.913333333333332,19.853333333333335,94.59333333333333,69.43333333333334,68.68,44.592592592592595,43.55333333333333,47.36333333333334,79.26,81.49,32.89,27.740000000000002,37.68666666666666,26.113333333333333,20.873333333333335,31.36,78.03333333333333,20.035714285714285,36.199999999999996,26.594444444444445,20.5,48.86666666666667,38.4,11.447058823529412,50.15
District of Columbia,1.0,46.06,38.584,29.619999999999997,11.18,67.26,4.48,73.33333333333333,5.296666666666667,21.503333333333334,78.49666666666667,31.364285714285717,91.35333333333332,7.526666666666667,13.573333333333332,6.319999999999999,10.427586206896551,96.59333333333333,82.29333333333334,70.92399999999999,68.66333333333334,61.96666666666667,60.89,72.97,54.02,45.519999999999996,46.44,45.31333333333334,24.21333333333333,25.926666666666666,24.613333333333333,72.325,16.9,39.483333333333334,19.01875,18.84,36.88,34.53,10.815000000000001,49.36363636363637
District of Columbia,2.0,35.766666666666666,33.94814814814815,31.235000000000003,10.573333333333332,77.25882352941177,4.367741935483871,67.4764705882353,5.363333333333333,20.7375,79.05151515151515,37.49285714285714,87.44666666666667,10.52258064516129,18.075,11.110000000000001,15.633333333333333,95.19375,73.81176470588235,69.52307692307691,61.193333333333335,51.626666666666665,53.4375,76.3,70.49,37.71818181818182,36.46363636363637,41.0,25.333333333333332,23.312903225806455,27.859375,75.52222222222223,17.905555555555555,37.88,22.561111111111114,19.445454545454545,42.65625,34.694736842105264,10.620000000000001,51.59473684210526
Florida,0.0,32.76,36.85454545454546,41.237500000000004,9.81875,75.22380952380952,5.5948717948717945,60.0047619047619,7.656756756756757,26.5,74.91538461538461,43.67777777777778,80.6421052631579,14.127777777777778,18.98918918918919,13.875862068965516,19.98918918918919,91.42,59.12857142857143,66.39117647058823,36.71944444444445,43.172222222222224,31.34473684210526,77.04666666666667,78.01538461538462,20.336363636363636,13.69090909090909,33.849999999999994,17.2125,33.37567567567568,33.98108108108108,71.03999999999999,19.228571428571428,37.725,24.123809523809523,20.599999999999998,43.336363636363636,41.93636363636364,12.475,49.809090909090905
Florida,1.0,48.832,45.99090909090909,37.2,9.464285714285714,61.023809523809526,5.673684210526315,69.87142857142857,6.424324324324324,29.023076923076925,72.26666666666667,34.916666666666664,94.13157894736842,8.94,13.719999999999999,5.526923076923077,9.41,96.955,79.12380952380951,72.94193548387096,63.342499999999994,62.04210526315789,54.55128205128205,77.47857142857143,55.75384615384615,34.13076923076923,36.61538461538461,34.544444444444444,13.411764705882353,34.96153846153846,29.021052631578947,68.25500000000001,13.13,41.63,18.855,16.594117647058823,31.321428571428573,30.814285714285713,14.5,44.528571428571425
Florida,2.0,41.14074074074074,41.411764705882355,38.644,9.34736842105263,68.82083333333334,5.71,65.32083333333334,7.327500000000001,26.94871794871795,73.88510638297872,38.44444444444444,88.5,12.00810810810811,16.451282051282053,9.155882352941177,15.24871794871795,94.29565217391306,67.23478260869565,68.15675675675676,54.937209302325584,51.21818181818182,43.48604651162791,76.05,68.02666666666667,28.853333333333335,27.464285714285715,34.373684210526314,15.511111111111111,33.678048780487806,31.664102564102567,70.175,16.547619047619047,39.285000000000004,21.666666666666668,17.91578947368421,39.9125,39.975,12.761111111111111,47.18125
Georgia,0.0,34.52272727272727,33.43793103448276,40.0,11.520000000000001,75.89444444444445,5.055882352941176,62.12777777777777,7.180645161290323,26.52285714285714,73.47714285714285,41.06666666666667,87.02666666666667,13.051612903225807,18.719354838709677,10.92,19.193548387096776,92.3529411764706,58.73888888888889,68.34827586206896,39.61666666666667,48.699999999999996,37.568571428571424,76.64545454545454,79.07000000000001,23.759999999999998,17.419999999999998,29.470588235294116,16.293333333333333,33.34571428571428,40.17428571428571,69.39500000000001,19.6375,32.3,21.691666666666666,23.02,47.58125,39.875,11.709999999999999,49.55625
Georgia,1.0,50.005,45.03076923076923,35.325,9.3,57.88125,5.470967741935484,71.4625,6.596666666666667,28.4741935483871,71.52580645161291,30.10666666666667,94.8,8.416666666666666,14.139999999999999,4.025,9.973333333333333,97.09333333333333,76.9375,68.376,69.11612903225806,66.98,57.42580645161291,76.72,58.129999999999995,40.99090909090909,41.42727272727273,31.240000000000002,13.346666666666666,35.53548387096774,31.396666666666665,70.22999999999999,14.105,32.72,18.243478260869566,23.647368421052633,30.958823529411763,31.08823529411765,13.055000000000001,39.92352941176471
