LocationDesc,AgeGroup,Eating 2 or more fruits daily,Eating 3 or more vegetables daily,No leisure-time physical activity within past month,Obesity
Hawaii,Overall,33.71666666666667,19.327777777777776,23.91111111111111,23.858333333333334
Idaho,50-64 years,31.913333333333334,16.866666666666667,25.696666666666665,36.199999999999996
Idaho,65 years or older,35.13333333333333,16.675,28.09166666666667,27.575
Idaho,Overall,33.35333333333333,16.758333333333333,28.61935483870968,33.45333333333333
Illinois,50-64 years,35.922222222222224,16.45625,28.325714285714284,39.69714285714286
Illinois,65 years or older,41.258823529411764,13.807142857142859,34.627272727272725,32.391176470588235
Illinois,Overall,38.71578947368421,14.58888888888889,31.20263157894737,36.94166666666667
Indiana,50-64 years,31.666666666666668,16.54375,33.94571428571428,40.09714285714286
Indiana,65 years or older,32.38,15.938461538461537,35.93333333333333,33.17
Indiana,Overall,32.56315789473685,15.875,35.51052631578948,37.70789473684211
Iowa,50-64 years,32.53076923076923,14.183333333333332,28.42142857142857,40.166666666666664
Iowa,65 years or older,37.225,12.916666666666666,31.570833333333336,32.3125
Iowa,Overall,35.56428571428571,13.583333333333334,32.01764705882353,38.76470588235294
Kansas,50-64 years,28.665,15.658823529411764,28.95263157894737,41.555263157894736
Kansas,65 years or older,32.23888888888889,14.726666666666667,34.391891891891895,32.35675675675676
Kansas,Overall,30.20909090909091,14.947368421052632,31.81904761904762,38.49512195121951
Kentucky,50-64 years,24.08,11.923076923076923,38.66,41.6
Kentucky,65 years or older,24.833333333333332,9.008333333333333,42.406666666666666,31.803333333333335
Kentucky,Overall,24.38,10.63846153846154,40.42580645161291,37.28
Louisiana,50-64 years,25.4,12.76,35.79,41.49666666666667
Louisiana,65 years or older,29.92,11.573333333333332,37.89,34.67666666666666
Louisiana,Overall,27.233333333333334,12.246666666666666,36.4375,38.2125
Maine,50-64 years,35.791666666666664,20.191666666666666,25.429166666666664,34.34166666666667
Maine,65 years or older,39.99166666666667,18.558333333333334,31.636,28.616
Maine,Overall,37.9,19.441666666666666,29.23,31.910344827586208
Maryland,50-64 years,36.19047619047619,18.835,26.05,37.40857142857143
Maryland,65 years or older,38.20625,14.706666666666667,31.254285714285718,30.83030303030303
Maryland,Overall,37.16190476190476,17.815,27.922727272727272,34.239999999999995
Massachusetts,50-64 years,34.24444444444444,18.842857142857145,28.44722222222222,30.83611111111111
Massachusetts,65 years or older,40.56470588235294,17.86923076923077,34.917142857142856,27.641176470588235
Massachusetts,Overall,36.37777777777777,17.25294117647059,31.08108108108108,29.583333333333332
Michigan,50-64 years,32.84666666666667,13.006666666666668,29.41875,39.4375
Michigan,65 years or older,37.86875,12.114285714285714,30.75,33.63225806451613
Michigan,Overall,35.666666666666664,12.94375,30.756410256410255,38.99743589743589
Midwest,50-64 years,34.175000000000004,15.445833333333333,29.41875,37.364583333333336
Midwest,65 years or older,37.55833333333333,13.217391304347826,34.272340425531915,31.62608695652174
Midwest,Overall,35.59583333333333,14.608333333333334,31.25208333333333,34.85
Minnesota,50-64 years,32.699999999999996,15.15,27.551162790697674,37.685
Minnesota,65 years or older,40.68333333333333,13.5,27.64074074074074,30.334615384615386
Minnesota,Overall,34.377272727272725,14.32,29.164444444444445,36.49285714285715
Mississippi,50-64 years,21.78666666666667,13.26,40.17333333333333,44.09666666666667
Mississippi,65 years or older,26.266666666666666,10.766666666666667,40.836666666666666,34.29
