LocationDesc,AgeGroup,Binge drinking within past 30 days,Current smoking
Washington,2.0,9.735483870967743,14.695121951219512
West,0.0,11.727659574468086,15.404255319148936
West,1.0,5.088636363636364,8.034782608695652
West,2.0,8.985106382978724,12.216666666666667
West Virginia,0.0,8.979166666666666,27.103846153846156
West Virginia,1.0,3.19,11.8375
West Virginia,2.0,6.004166666666666,20.66551724137931
Wisconsin,0.0,20.129166666666666,21.50689655172414
Wisconsin,1.0,8.591666666666667,8.291666666666666
Wisconsin,2.0,15.488888888888889,17.654838709677417
Wyoming,0.0,12.575000000000001,19.334615384615383
Wyoming,1.0,4.5375000000000005,9.762500000000001
Wyoming,2.0,8.975,15.322222222222221
